DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Danvers,00710000,65157358.18,3304.80,19716.21,74994769.16,3451.50,21728.28
Montachusett Regional Vocational Technical,08320000,36386360.18,1426.80,25501.68,36639398.60,1471.00,24907.27
Ralph C Mahar,07550000,14520236.00,500.00,29040.47,17433538.01,621.80,28036.16
Haverhill,01280000,157025892.00,7996.00,19638.11,177517005.20,8721.90,20353.02
Florida,00980000,1988284.79,85.80,23174.98,2080922.79,94.00,22127.01
Northampton-Smith Vocational Agricultural,04060000,17625381.38,561.40,31395.10,17625381.38,561.40,31395.10
Belmont,00260000,80736654.00,4420.10,18265.66,95396137.24,4574.80,20852.48
Falmouth,00960000,73278951.00,2907.20,25206.22,79798957.02,3129.70,25496.98
Masconomet,07050000,37998869.10,1514.90,25083.05,43763601.02,1595.70,27426.47
River Valley Charter (District),04820000,5196054.78,287.50,18072.61,5196054.78,287.50,18072.61
Blackstone-Millville,06220000,27043183.00,1451.50,18631.84,31394723.47,1666.90,18834.31
Canton,00500000,68465342.54,3264.70,20971.12,78911626.06,3352.40,23538.86
Gardner,01030000,44437932.46,2470.50,17987.18,49709382.83,2681.40,18538.65
Millis,01870000,24933000.24,1180.40,21123.30,27271545.52,1225.20,22257.96
Ipswich,01440000,40045082.00,1613.90,24812.87,42601807.76,1673.80,25451.41
Norfolk County Agricultural,09150000,16151960.85,573.70,28155.66,16151960.85,573.70,28155.66
Gill-Montague,06740000,23704971.20,899.80,26345.85,26964391.73,1127.20,23921.83
Westhampton,03270000,2901443.71,104.90,27647.43,3488117.23,123.80,28177.95
Brockton,00440000,306932564.60,15076.60,20358.22,356258772.30,17184.70,20731.11
Francis W. Parker Charter Essential (District),04780000,6944195.46,366.90,18928.73,6944195.46,366.90,18928.73
Holbrook,01330000,23230946.43,1322.40,17566.67,26880636.72,1422.80,18892.49
Southborough,02760000,29436238.60,1303.80,22578.04,31876356.40,1333.10,23911.69
Kipp Academy Lynn Charter (District),04290000,34246623.48,1613.10,21229.92,34246623.48,1613.10,21229.92
Somerville,02740000,136354106.80,4974.70,27409.51,152133921.90,5355.60,28406.68
Salem,02580000,99204878.31,3841.60,25823.55,115424337.90,4489.00,25712.55
Veritas Preparatory Charter School (District),04980000,13061701.05,598.80,21814.22,13061701.05,598.80,21814.22
South Hadley,02780000,32544367.87,1642.90,19809.43,39389551.05,1949.90,20200.44
Topsfield,02980000,13720268.65,616.70,22248.08,14077453.65,624.70,22534.94
Westwood,03350000,69851141.00,2871.60,24325.19,73053086.45,2904.00,25155.97
Shutesbury,02720000,3017100.00,110.20,27382.54,3267765.33,128.70,25395.82
Lynnfield,01640000,42474881.78,2200.80,19299.75,45814647.78,2238.60,20466.00
