DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED
Monson,01910000,30,80.00,10.00,0.00,3.30,6.70,0.00
Rockland,02510000,143,85.30,4.90,0.00,0.00,9.80,0.00
Greater Commonwealth Virtual District,39010000,184,58.70,10.90,0.00,4.30,26.10,0.00
Hudson,01410000,191,87.40,5.80,0.00,0.50,6.30,0.00
Boston Preparatory Charter Public (District),04160000,75,96.00,4.00,0.00,0.00,0.00,0.00
Ipswich,01440000,121,95.00,4.10,0.00,0.80,0.00,0.00
Wilmington,03420000,152,93.40,3.90,1.30,0.00,1.30,0.00
South Middlesex Regional Vocational Technical,08290000,205,97.10,1.00,0.00,0.00,2.00,0.00
Martha's Vineyard,07000000,225,84.00,2.20,1.30,0.00,12.40,0.00
Tantasqua,07700000,288,95.50,2.40,0.00,0.70,1.40,0.00
Marblehead,01680000,248,97.60,2.00,0.00,0.40,0.00,0.00
Winchendon,03430000,75,70.70,4.00,0.00,1.30,24.00,0.00
Tyngsborough,03010000,103,97.10,1.90,0.00,0.00,1.00,0.00
Ashburnham-Westminster,06100000,153,98.00,2.00,0.00,0.00,0.00,0.00
Hoosac Valley Regional,06030000,50,86.00,0.00,0.00,0.00,14.00,0.00
Greater Lowell Regional Vocational Technical,08280000,571,98.60,0.90,0.20,0.00,0.40,0.00
Amesbury,00070000,134,82.10,14.90,0.70,1.50,0.70,0.00
Belmont,00260000,366,96.70,3.30,0.00,0.00,0.00,0.00
North Middlesex,07350000,214,88.80,4.70,0.00,0.50,6.10,0.00
Francis W. Parker Charter Essential (District),04780000,57,96.50,3.50,0.00,0.00,0.00,0.00
Revere,02480000,649,79.80,6.60,0.00,0.30,13.30,0.00
Holbrook,01330000,75,93.30,2.70,0.00,0.00,4.00,0.00
Argosy Collegiate Charter School (District),35090000,54,77.80,13.00,0.00,0.00,5.60,3.70
Barnstable,00200000,409,82.90,5.40,1.50,0.70,9.50,0.00
