DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Spencer-E Brookfield,07670000,75,76.0,5.3,2.7,2.7,12.0,1.3,26845662.0,1403.1,19132.58,31853195.09,1677.4,18989.54,8514431.0,72463.0,117.5,93.4,11.4,46.1,15.1,3.8,10.0,278.0,93.6,11.1,106.0,116.0,106.0,127.0,97.0,120.0,99.0,105.0,104.0,47.0,49.0,59.0,45.0,1180.0,484.0,484.0,486.0,14.0,13.0,4.0,2.0,2.0,2.0,151.0,134.0,68.0,22.0,20.0,29.0,137.0,121.0,64.0,20.0,18.0,27.0,188.0,182.0,60.0,28.0,27.0,25.0,99.0,98.0,98.0,343.0,354.0,110.0,50.0,53.0,46.0,44.0,47.0,682.0,670.0,238.0,521.0,512.0,15.733333333333333
Old Colony Regional Vocational Technical,08550000,132,99.2,0.0,0.0,0.0,0.8,0.0,14373435.0,545.4,26355.28,14449708.0,550.4,26254.43,5271013.0,85016.0,62.0,95.4,8.2,31.1,8.8,1.8,3.4,98.0,93.5,11.8,,,,,,,,,,14.0,13.0,12.0,7.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3484848484848485
Southern Worcester County Regional Vocational School District,08760000,285,98.9,0.7,0.0,0.0,0.4,0.0,28427177.46,1159.6,24515.58,28763215.23,1214.0,23693.02,11058544.0,96161.0,115.0,95.1,8.6,33.7,11.1,1.0,24.8,179.0,94.8,9.5,,,,,,,,,,19.0,19.0,19.0,17.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2596491228070175
Mystic Valley Regional Charter (District),04700000,76,96.1,3.9,0.0,0.0,0.0,0.0,24155324.0,1654.4,14600.74,24155324.0,1654.4,14600.74,8131031.0,81359.0,98.4,96.3,7.3,29.8,3.3,0.3,0.8,192.0,97.0,6.0,167.0,159.0,159.0,160.0,154.0,146.0,147.0,144.0,122.0,0.0,0.0,7.0,9.0,1374.0,504.0,507.0,500.0,70.0,100.0,19.0,8.0,11.0,7.0,505.0,538.0,130.0,58.0,62.0,49.0,435.0,438.0,111.0,50.0,50.0,42.0,28.0,26.0,20.0,3.0,3.0,7.0,100.0,100.0,99.0,341.0,309.0,117.0,39.0,35.0,44.0,50.0,55.0,874.0,873.0,267.0,686.0,687.0,18.07894736842105
Norwood,02200000,254,96.1,3.5,0.0,0.0,0.4,0.0,75718206.0,3596.1,21055.94,87948859.39,3764.0,23365.79,30559111.0,92324.0,331.0,92.4,13.0,47.1,25.4,7.4,38.4,627.0,93.8,11.1,256.0,299.0,270.0,265.0,285.0,258.0,265.0,263.0,252.0,221.0,191.0,131.0,123.0,3079.0,492.0,492.0,494.0,69.0,89.0,44.0,4.0,6.0,8.0,602.0,569.0,215.0,38.0,36.0,41.0,533.0,480.0,171.0,33.0,30.0,32.0,318.0,334.0,104.0,20.0,21.0,20.0,99.0,99.0,99.0,672.0,692.0,210.0,42.0,43.0,40.0,45.0,43.0,1592.0,1595.0,529.0,1217.0,1235.0,12.122047244094489
East Bridgewater,00830000,124,96.0,2.4,0.0,0.0,1.6,0.0,35375399.54,2010.8,17592.8,38591739.57,2106.9,18317.2,13262916.0,79466.0,166.9,94.2,10.2,41.4,13.7,2.3,29.2,319.0,93.2,12.3,140.0,135.0,125.0,153.0,156.0,151.0,152.0,159.0,165.0,139.0,111.0,102.0,85.0,1773.0,491.0,491.0,496.0,22.0,38.0,13.0,2.0,4.0,4.0,336.0,314.0,151.0,36.0,33.0,47.0,314.0,276.0,138.0,34.0,29.0,43.0,163.0,158.0,43.0,17.0,17.0,13.0,99.0,99.0,99.0,435.0,468.0,126.0,47.0,50.0,39.0,41.0,42.0,934.0,940.0,320.0,759.0,759.0,14.298387096774194
Northern Berkshire Regional Vocational Technical,08510000,132,97.7,0.0,0.0,0.8,1.5,0.0,13526738.0,491.2,27536.59,13564023.34,496.2,27334.27,5286891.0,109233.0,48.4,91.4,15.2,56.4,30.1,9.0,56.0,76.0,92.9,13.3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Northeast Metropolitan Regional Vocational Technical,08530000,320,98.4,0.3,0.0,0.0,1.2,0.0,36320318.12,1327.0,27369.45,36330463.12,1328.0,27356.48,13032243.0,108331.0,120.3,95.0,8.9,34.2,10.3,1.7,22.0,199.0,92.2,14.7,,,,,,,,,,0.0,12.0,9.0,32.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165625
West Boylston,03220000,51,100.0,0.0,0.0,0.0,0.0,0.0,17739110.54,902.3,19660.61,20937567.27,986.5,21224.36,7122331.0,89252.0,79.8,95.1,8.5,33.8,10.2,2.0,33.7,155.0,93.9,11.3,75.0,66.0,71.0,78.0,60.0,74.0,75.0,73.0,66.0,40.0,42.0,45.0,36.0,801.0,497.0,504.0,499.0,38.0,48.0,12.0,9.0,11.0,9.0,188.0,243.0,67.0,45.0,58.0,50.0,150.0,195.0,55.0,36.0,47.0,41.0,51.0,38.0,19.0,12.0,9.0,14.0,100.0,99.0,99.0,183.0,138.0,49.0,43.0,33.0,36.0,50.0,53.0,422.0,419.0,135.0,329.0,328.0,15.705882352941176
Salem Academy Charter (District),04850000,68,95.6,4.4,0.0,0.0,0.0,0.0,10049622.86,483.3,20793.33,10049622.86,483.3,20793.33,3804523.0,92376.0,39.7,93.5,12.0,46.1,15.9,4.1,18.8,88.0,93.8,11.2,,,,,,,73.0,72.0,75.0,57.0,56.0,47.0,56.0,436.0,495.0,492.0,496.0,19.0,12.0,10.0,9.0,5.0,13.0,102.0,86.0,33.0,46.0,39.0,44.0,83.0,74.0,23.0,38.0,34.0,31.0,45.0,43.0,14.0,20.0,20.0,19.0,100.0,100.0,99.0,74.0,91.0,28.0,33.0,41.0,37.0,53.0,58.0,221.0,220.0,75.0,211.0,211.0,6.411764705882353
Upper Cape Cod Regional Vocational Technical,08790000,183,98.9,0.0,0.0,0.0,1.1,0.0,22122204.0,814.6,27156.58,22173280.57,823.7,26918.9,7486834.0,86254.0,86.8,93.3,11.9,49.3,22.3,5.0,22.2,115.0,92.9,12.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Mansfield,01670000,245,96.7,1.6,0.0,0.0,1.6,0.0,72321864.85,3347.3,21606.21,79100587.77,3457.4,22878.5,29311770.0,98793.0,296.7,95.1,8.6,30.6,10.7,2.4,16.9,526.0,93.7,11.7,194.0,232.0,246.0,256.0,270.0,243.0,235.0,255.0,105.0,193.0,161.0,172.0,118.0,2680.0,502.0,502.0,499.0,142.0,141.0,26.0,9.0,9.0,5.0,836.0,821.0,246.0,55.0,54.0,50.0,694.0,680.0,220.0,46.0,45.0,45.0,137.0,127.0,36.0,9.0,8.0,7.0,100.0,99.0,98.0,550.0,571.0,210.0,36.0,38.0,43.0,52.0,45.0,1523.0,1519.0,492.0,1216.0,1213.0,10.938775510204081
Cambridge,00490000,532,91.7,5.8,0.0,0.2,2.3,0.0,256862782.2,6952.1,36947.63,296380635.1,7558.3,39212.47,82350688.0,107958.0,762.8,92.6,12.7,46.8,21.7,7.0,15.1,1568.0,94.2,11.7,555.0,573.0,545.0,531.0,531.0,478.0,440.0,447.0,414.0,321.0,275.0,252.0,263.0,5625.0,505.0,504.0,501.0,475.0,458.0,128.0,17.0,17.0,15.0,1601.0,1541.0,464.0,58.0,56.0,54.0,1126.0,1083.0,336.0,41.0,39.0,39.0,341.0,368.0,133.0,12.0,13.0,16.0,98.0,98.0,97.0,799.0,835.0,260.0,29.0,30.0,30.0,56.0,54.0,2741.0,2744.0,857.0,1991.0,2036.0,10.573308270676693
Wareham,03100000,107,79.4,14.0,0.9,0.0,5.6,0.0,47203729.51,1960.0,24083.33,55620470.04,2348.0,23687.95,16041240.0,90119.0,178.0,92.8,12.1,49.2,21.8,5.4,28.2,355.0,91.8,15.2,169.0,176.0,165.0,175.0,156.0,147.0,146.0,150.0,77.0,81.0,74.0,67.0,66.0,1649.0,489.0,490.0,489.0,24.0,28.0,5.0,3.0,3.0,2.0,274.0,260.0,78.0,31.0,29.0,31.0,250.0,232.0,73.0,28.0,26.0,29.0,179.0,175.0,52.0,20.0,20.0,20.0,98.0,97.0,94.0,438.0,447.0,125.0,49.0,51.0,49.0,51.0,49.0,891.0,882.0,255.0,636.0,627.0,15.411214953271028
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,82,91.5,1.2,0.0,0.0,6.1,1.2,13487127.0,367.6,36693.02,13487127.0,367.6,36693.02,4449296.0,118493.0,35.6,87.3,21.5,68.7,48.3,17.3,52.7,90.0,92.4,13.6,,,,,,,,,,108.0,78.0,23.0,31.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.926829268292683
Amherst-Pelham,06050000,202,92.6,4.5,0.0,0.5,2.5,0.0,34141149.0,1209.3,28231.9,38695548.18,1356.0,28536.4,10004894.0,92296.0,108.4,92.2,13.7,46.9,22.3,7.7,21.8,288.0,95.4,8.5,,,,,,,,175.0,178.0,158.0,159.0,208.0,169.0,1047.0,500.0,500.0,502.0,44.0,47.0,16.0,14.0,15.0,10.0,170.0,152.0,87.0,54.0,50.0,56.0,126.0,105.0,71.0,40.0,34.0,46.0,55.0,47.0,16.0,17.0,15.0,10.0,89.0,86.0,86.0,92.0,108.0,53.0,29.0,35.0,34.0,54.0,54.0,317.0,307.0,156.0,295.0,284.0,5.183168316831683
Greater Fall River Regional Vocational Technical,08210000,355,98.9,0.0,0.6,0.0,0.6,0.0,36943601.0,1427.9,25872.48,37006899.86,1440.0,25699.04,14116765.0,98650.0,143.1,95.0,8.8,35.1,8.8,1.9,11.4,207.0,93.7,11.1,,,,,,,,,,24.0,25.0,23.0,36.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30422535211267604
Pembroke,02310000,174,95.4,3.4,0.0,0.0,1.1,0.0,45875604.51,2425.9,18910.97,52492802.42,2562.9,20481.42,18029966.0,96469.0,186.9,94.3,10.1,42.1,11.6,2.0,0.0,312.0,95.0,9.3,174.0,164.0,189.0,186.0,184.0,163.0,195.0,185.0,167.0,86.0,68.0,75.0,108.0,1944.0,495.0,503.0,494.0,38.0,99.0,14.0,4.0,9.0,4.0,435.0,589.0,126.0,41.0,55.0,38.0,397.0,490.0,112.0,37.0,46.0,34.0,128.0,74.0,40.0,12.0,7.0,12.0,98.0,99.0,98.0,505.0,413.0,163.0,47.0,38.0,50.0,39.0,51.0,1068.0,1076.0,329.0,852.0,859.0,11.172413793103448
Mohawk Trail,07170000,42,88.1,4.8,0.0,2.4,4.8,0.0,21827084.89,804.8,27120.94,25210192.19,950.6,26521.01,5944685.0,86280.0,68.9,93.2,12.1,48.9,18.0,4.9,16.2,232.0,95.6,7.7,59.0,46.0,60.0,57.0,60.0,62.0,62.0,60.0,74.0,25.0,28.0,17.0,14.0,624.0,489.0,486.0,485.0,13.0,3.0,4.0,3.0,1.0,3.0,131.0,92.0,42.0,34.0,24.0,30.0,118.0,89.0,38.0,31.0,23.0,28.0,92.0,90.0,39.0,24.0,23.0,28.0,96.0,96.0,95.0,163.0,203.0,57.0,42.0,53.0,41.0,43.0,45.0,386.0,385.0,138.0,307.0,302.0,14.857142857142858
Manchester Essex Regional,06980000,116,97.4,0.9,0.0,0.0,1.7,0.0,30028892.0,1195.4,25121.42,33636823.84,1227.8,27395.09,12342703.0,98900.0,124.8,95.1,8.7,33.4,8.5,0.8,18.6,222.0,96.3,7.0,68.0,78.0,84.0,74.0,90.0,93.0,86.0,93.0,98.0,78.0,78.0,23.0,32.0,975.0,505.0,504.0,504.0,67.0,53.0,15.0,13.0,10.0,8.0,328.0,302.0,122.0,61.0,57.0,64.0,261.0,249.0,107.0,49.0,47.0,56.0,36.0,35.0,12.0,7.0,7.0,6.0,100.0,99.0,99.0,172.0,197.0,57.0,32.0,37.0,30.0,53.0,52.0,536.0,534.0,191.0,447.0,442.0,8.405172413793103
Tri-County Regional Vocational Technical,08780000,221,100.0,0.0,0.0,0.0,0.0,0.0,24343195.0,955.8,25468.48,24345255.45,956.1,25462.91,9387938.0,109289.0,85.9,94.6,9.7,37.8,13.8,2.3,6.4,152.0,93.6,11.6,,,,,,,,,,13.0,16.0,166.0,103.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3484162895927603
Central Berkshire,06350000,121,94.2,2.5,0.0,0.0,3.3,0.0,31347827.0,1585.9,19766.93,35432628.42,1786.6,19832.87,10390375.0,86371.0,120.3,94.1,10.4,43.7,16.7,2.5,30.8,255.0,93.8,11.3,91.0,110.0,121.0,115.0,106.0,134.0,108.0,125.0,123.0,60.0,49.0,42.0,42.0,1226.0,497.0,497.0,497.0,63.0,50.0,17.0,9.0,7.0,7.0,321.0,304.0,122.0,46.0,43.0,48.0,258.0,254.0,105.0,37.0,36.0,41.0,108.0,94.0,30.0,15.0,13.0,12.0,98.0,98.0,99.0,270.0,303.0,102.0,39.0,43.0,40.0,52.0,54.0,699.0,701.0,254.0,560.0,562.0,10.132231404958677
Southern Berkshire,07650000,40,90.0,5.0,0.0,0.0,5.0,0.0,20348754.74,613.6,33162.3,21525250.47,757.7,28410.46,4745271.0,62030.0,76.5,91.9,14.2,58.3,24.8,6.2,27.6,142.0,91.2,15.8,39.0,42.0,35.0,64.0,50.0,43.0,42.0,31.0,47.0,34.0,26.0,19.0,23.0,495.0,493.0,493.0,492.0,18.0,17.0,2.0,7.0,6.0,2.0,99.0,106.0,33.0,36.0,40.0,38.0,81.0,89.0,31.0,30.0,33.0,35.0,55.0,52.0,12.0,20.0,19.0,14.0,98.0,97.0,99.0,118.0,110.0,43.0,43.0,41.0,49.0,51.0,46.0,272.0,268.0,88.0,194.0,192.0,12.375
Norwell,02190000,154,97.4,1.3,0.0,0.6,0.6,0.0,41991817.39,2150.6,19525.43,46543353.03,2200.2,21154.1,16976069.0,100868.0,168.3,95.0,8.8,35.0,7.7,1.1,23.7,306.0,93.2,11.9,158.0,166.0,162.0,178.0,177.0,197.0,167.0,167.0,169.0,130.0,131.0,112.0,104.0,2018.0,508.0,509.0,506.0,150.0,154.0,49.0,14.0,15.0,14.0,707.0,718.0,232.0,67.0,68.0,64.0,557.0,564.0,183.0,53.0,53.0,51.0,56.0,38.0,18.0,5.0,4.0,5.0,99.0,100.0,99.0,294.0,305.0,112.0,28.0,29.0,31.0,54.0,55.0,1057.0,1061.0,362.0,865.0,869.0,13.103896103896103
Tewksbury,02950000,182,93.4,2.7,0.5,0.5,2.7,0.0,68271445.97,3255.0,20974.22,79404942.89,3423.3,23195.2,23703455.0,93284.0,254.1,94.8,9.1,36.5,11.2,2.0,22.3,546.0,93.7,11.3,0.0,254.0,303.0,251.0,260.0,253.0,248.0,269.0,272.0,133.0,138.0,77.0,131.0,2589.0,496.0,495.0,496.0,111.0,82.0,34.0,7.0,5.0,6.0,703.0,646.0,230.0,45.0,41.0,43.0,592.0,564.0,196.0,38.0,36.0,37.0,234.0,224.0,70.0,15.0,14.0,13.0,99.0,100.0,99.0,631.0,704.0,233.0,40.0,45.0,44.0,52.0,51.0,1568.0,1574.0,533.0,1253.0,1262.0,14.225274725274724
Narragansett,07200000,88,90.9,3.4,0.0,1.1,4.5,0.0,24927559.0,1465.6,17008.24,27263951.22,1572.2,17341.35,7448926.0,75777.0,98.3,94.3,10.0,38.0,14.2,3.4,25.8,223.0,91.4,15.7,109.0,98.0,103.0,99.0,101.0,116.0,119.0,112.0,14.0,46.0,31.0,53.0,58.0,1059.0,488.0,487.0,488.0,6.0,16.0,1.0,1.0,2.0,0.0,192.0,186.0,70.0,28.0,27.0,29.0,186.0,170.0,69.0,27.0,25.0,29.0,144.0,148.0,48.0,21.0,22.0,20.0,100.0,100.0,100.0,354.0,351.0,120.0,51.0,51.0,50.0,47.0,44.0,690.0,685.0,238.0,563.0,558.0,12.034090909090908
Saugus,02620000,208,84.1,6.2,0.0,0.5,9.1,0.0,46373943.22,2671.8,17356.85,57204356.55,3084.2,18547.35,16258884.0,89778.0,181.1,91.3,15.1,58.0,29.6,8.1,41.5,349.0,91.0,16.6,204.0,202.0,210.0,205.0,199.0,203.0,188.0,214.0,192.0,161.0,114.0,89.0,108.0,2289.0,485.0,491.0,490.0,21.0,43.0,13.0,2.0,4.0,3.0,317.0,411.0,127.0,26.0,34.0,33.0,296.0,368.0,114.0,24.0,30.0,30.0,313.0,238.0,83.0,26.0,20.0,22.0,99.0,97.0,95.0,592.0,560.0,171.0,48.0,46.0,45.0,42.0,51.0,1222.0,1209.0,381.0,923.0,917.0,11.004807692307692
Boston Green Academy Horace Mann Charter School (District),04110000,63,82.5,0.0,0.0,0.0,17.5,0.0,10287833.47,441.7,23293.33,10287833.47,441.7,23293.33,5145357.0,119966.0,42.7,86.7,22.8,67.1,48.2,21.7,59.4,90.0,93.4,11.7,,,,,,,,69.0,70.0,68.0,53.0,35.0,18.0,313.0,477.0,476.0,480.0,2.0,4.0,0.0,2.0,3.0,0.0,20.0,16.0,7.0,16.0,13.0,11.0,18.0,12.0,7.0,14.0,9.0,11.0,56.0,57.0,15.0,44.0,45.0,23.0,96.0,98.0,97.0,50.0,55.0,42.0,40.0,43.0,66.0,42.0,47.0,126.0,128.0,64.0,123.0,125.0,4.968253968253968
South Shore Charter Public (District),04880000,78,96.2,0.0,0.0,0.0,3.8,0.0,19180784.08,1060.2,18091.84,19180784.08,1060.2,18091.84,8024452.0,85070.0,46.4,93.4,11.5,45.0,19.0,3.8,36.4,170.0,94.1,10.8,84.0,85.0,84.0,83.0,82.0,84.0,81.0,81.0,85.0,47.0,39.0,29.0,25.0,889.0,494.0,492.0,493.0,28.0,29.0,9.0,6.0,6.0,5.0,221.0,176.0,61.0,45.0,36.0,37.0,193.0,147.0,52.0,39.0,30.0,31.0,91.0,91.0,31.0,18.0,18.0,19.0,100.0,99.0,99.0,183.0,226.0,74.0,37.0,46.0,45.0,52.0,41.0,495.0,493.0,166.0,384.0,384.0,11.397435897435898
Rockport,02520000,46,91.3,0.0,0.0,2.2,6.5,0.0,18695879.04,662.2,28231.56,21813768.75,723.5,30151.82,7507680.0,91446.0,82.1,93.8,11.0,42.3,16.7,3.3,34.0,136.0,91.5,15.9,42.0,41.0,36.0,41.0,47.0,40.0,43.0,52.0,49.0,61.0,68.0,50.0,41.0,611.0,496.0,494.0,503.0,19.0,16.0,13.0,7.0,6.0,14.0,123.0,111.0,57.0,44.0,40.0,63.0,104.0,95.0,44.0,38.0,34.0,49.0,42.0,42.0,8.0,15.0,15.0,9.0,99.0,99.0,97.0,112.0,127.0,25.0,40.0,45.0,28.0,45.0,45.0,277.0,280.0,90.0,223.0,225.0,13.282608695652174
North Brookfield,02150000,25,72.0,12.0,0.0,0.0,16.0,0.0,9404824.61,404.5,23248.9,12153777.31,618.9,19637.04,2855243.0,72468.0,39.4,88.7,19.5,68.2,32.7,14.8,43.8,,,,,,,,,,,,,,,,,,483.0,486.0,482.0,0.0,2.0,0.0,0.0,1.0,0.0,43.0,48.0,16.0,19.0,22.0,21.0,43.0,46.0,16.0,19.0,21.0,21.0,50.0,55.0,23.0,23.0,25.0,30.0,99.0,98.0,97.0,128.0,115.0,38.0,58.0,53.0,49.0,45.0,38.0,221.0,218.0,77.0,159.0,157.0,
Stoughton,02850000,307,88.6,4.6,0.7,0.0,6.2,0.0,72769567.0,3807.4,19112.72,81095029.03,4015.8,20194.1,30932060.0,96092.0,321.9,94.2,9.9,37.3,15.4,3.8,0.0,630.0,92.8,13.3,271.0,273.0,304.0,311.0,249.0,262.0,268.0,266.0,286.0,242.0,178.0,176.0,229.0,3315.0,492.0,493.0,492.0,82.0,67.0,27.0,5.0,4.0,5.0,596.0,584.0,200.0,37.0,37.0,38.0,514.0,517.0,173.0,32.0,33.0,33.0,310.0,249.0,96.0,19.0,16.0,18.0,99.0,99.0,98.0,690.0,757.0,232.0,43.0,48.0,44.0,46.0,48.0,1596.0,1590.0,528.0,1187.0,1199.0,10.798045602605864
Salem,02580000,256,86.3,7.8,0.0,0.4,5.5,0.0,99204878.31,3841.6,25823.55,115424337.9,4489.0,25712.55,34497395.0,96388.0,357.9,92.6,12.7,47.8,19.2,6.4,27.2,827.0,91.0,16.7,314.0,334.0,315.0,320.0,321.0,351.0,244.0,256.0,244.0,76.0,103.0,115.0,90.0,3083.0,488.0,484.0,488.0,84.0,45.0,31.0,5.0,3.0,5.0,538.0,414.0,196.0,32.0,24.0,33.0,454.0,369.0,165.0,27.0,22.0,28.0,434.0,525.0,165.0,26.0,31.0,28.0,99.0,99.0,99.0,724.0,768.0,237.0,43.0,45.0,40.0,56.0,50.0,1696.0,1707.0,598.0,1215.0,1233.0,12.04296875
Ludlow,01610000,203,88.2,3.9,1.5,1.0,5.4,0.0,44856703.0,2251.0,19927.7,50961278.57,2376.6,21443.04,16384497.0,84196.0,194.6,94.3,9.9,40.2,12.3,2.8,34.6,406.0,91.9,14.6,139.0,134.0,128.0,146.0,155.0,166.0,141.0,156.0,166.0,104.0,96.0,81.0,70.0,1682.0,484.0,489.0,488.0,15.0,29.0,6.0,2.0,3.0,2.0,221.0,304.0,98.0,23.0,31.0,29.0,206.0,275.0,92.0,21.0,28.0,27.0,253.0,192.0,68.0,26.0,20.0,20.0,99.0,99.0,97.0,491.0,473.0,171.0,51.0,49.0,51.0,42.0,46.0,965.0,969.0,337.0,780.0,782.0,8.285714285714286
Monomoy Regional School District,07120000,155,97.4,1.9,0.0,0.0,0.6,0.0,44299178.0,1731.4,25585.84,47684968.69,1869.2,25510.43,15181674.0,88886.0,170.8,93.9,10.6,43.9,15.3,2.8,35.5,353.0,94.5,9.8,101.0,89.0,116.0,116.0,120.0,121.0,134.0,140.0,113.0,102.0,95.0,91.0,83.0,1421.0,497.0,497.0,498.0,54.0,50.0,20.0,7.0,7.0,8.0,343.0,347.0,133.0,45.0,45.0,51.0,289.0,297.0,113.0,38.0,39.0,43.0,102.0,94.0,32.0,13.0,12.0,12.0,98.0,99.0,98.0,315.0,328.0,98.0,41.0,43.0,37.0,48.0,52.0,760.0,769.0,263.0,611.0,616.0,9.167741935483871
Berkshire Hills,06180000,141,86.5,3.5,0.0,0.7,9.2,0.0,35532031.15,1174.4,30255.48,39357790.27,1291.3,30479.2,10675206.0,90621.0,117.8,91.9,14.1,52.5,27.7,7.0,7.6,243.0,91.5,15.7,56.0,61.0,62.0,67.0,66.0,72.0,83.0,77.0,97.0,80.0,61.0,69.0,56.0,907.0,497.0,492.0,494.0,37.0,11.0,7.0,9.0,3.0,5.0,194.0,155.0,59.0,45.0,36.0,39.0,157.0,144.0,52.0,36.0,33.0,35.0,62.0,79.0,20.0,14.0,18.0,13.0,93.0,93.0,88.0,178.0,202.0,71.0,41.0,46.0,47.0,51.0,45.0,434.0,436.0,150.0,324.0,332.0,6.432624113475177
Bedford,00230000,224,98.7,0.0,0.0,0.4,0.9,0.0,59145395.0,2561.1,23093.55,66387166.34,2612.6,25410.18,23857888.0,104686.0,227.9,94.7,9.3,34.8,10.3,2.3,4.7,494.0,94.1,9.7,0.0,165.0,162.0,153.0,195.0,187.0,184.0,211.0,184.0,197.0,161.0,92.0,112.0,2003.0,511.0,511.0,511.0,254.0,251.0,89.0,23.0,22.0,24.0,770.0,751.0,262.0,69.0,66.0,70.0,516.0,500.0,173.0,46.0,44.0,46.0,92.0,106.0,36.0,8.0,9.0,10.0,98.0,98.0,99.0,261.0,273.0,78.0,23.0,24.0,21.0,58.0,51.0,1123.0,1130.0,376.0,930.0,940.0,8.941964285714286
Hamilton-Wenham,06750000,113,97.3,2.7,0.0,0.0,0.0,0.0,37036134.61,1660.6,22303.46,42069615.98,1714.3,24540.09,13868309.0,93642.0,148.1,95.8,7.5,27.0,5.3,0.7,4.7,301.0,96.5,6.3,119.0,137.0,139.0,153.0,131.0,124.0,131.0,137.0,120.0,97.0,79.0,65.0,82.0,1514.0,506.0,506.0,507.0,106.0,111.0,25.0,13.0,14.0,10.0,507.0,500.0,169.0,63.0,62.0,68.0,401.0,389.0,144.0,49.0,48.0,58.0,57.0,51.0,14.0,7.0,6.0,6.0,100.0,100.0,100.0,247.0,257.0,67.0,30.0,32.0,27.0,54.0,63.0,811.0,808.0,250.0,621.0,621.0,13.398230088495575
