District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Berlin-Boylston,06200000,SCI,         102,59,          17,10,          85,49,          54,31,          17,10,         173,100,     504,,
Beverly,00300000,ELA,         932,45,         144,7,         788,38,         777,38,         360,17,"       2,069",99,     495,          46,"       1,641"
Beverly,00300000,MATH,"       1,056",51,         208,10,         848,41,         718,35,         297,14,"       2,071",99,     500,          49,"       1,645"
Beverly,00300000,SCI,         282,43,          39,6,         243,37,         256,39,         119,18,         657,95,     493,,
Billerica,00310000,ELA,"       1,048",45,         135,6,         913,39,         955,41,         343,15,"       2,346",99,     496,          48,"       1,841"
Billerica,00310000,MATH,"       1,062",45,         161,7,         901,38,         968,41,         317,14,"       2,347",99,     497,          47,"       1,848"
Billerica,00310000,SCI,         340,45,          44,6,         296,39,         326,43,          95,12,         761,99,     496,,
Blackstone-Millville,06220000,ELA,         261,38,          23,3,         238,35,         300,44,         124,18,         685,99,     492,          46,         553
Blackstone-Millville,06220000,MATH,         256,37,          31,5,         225,33,         344,50,          84,12,         684,99,     494,          47,         551
Blackstone-Millville,06220000,SCI,         107,46,          11,5,          96,42,          92,40,          32,14,         231,99,     495,,
Boston,00350000,ELA,"       5,184",29,"       1,014",6,"       4,170",24,"       6,831",39,"       5,695",32,"      17,710",98,     486,          49,"      12,618"
Boston,00350000,MATH,"       4,925",28,"       1,041",6,"       3,884",22,"       7,035",40,"       5,832",33,"      17,792",99,     486,          50,"      12,832"
Boston,00350000,SCI,"       1,280",22,         209,4,"       1,071",19,"       2,470",43,"       2,006",35,"       5,756",97,     482,,
Boston Collegiate Charter (District),04490000,ELA,         195,51,          34,9,         161,42,         151,39,          38,10,         384,99,     499,          53,         348
Boston Collegiate Charter (District),04490000,MATH,         217,56,          39,10,         178,46,         134,35,          35,9,         386,100,     502,          66,         348
Boston Collegiate Charter (District),04490000,SCI,         104,54,          16,8,          88,45,          73,38,          17,9,         194,99,     500,,
Boston Green Academy Horace Mann Charter School (District),04110000,ELA,          20,16,           2,2,          18,14,          50,40,          56,44,         126,96,     477,          42,         123
Boston Green Academy Horace Mann Charter School (District),04110000,MATH,          16,13,           4,3,          12,9,          55,43,          57,45,         128,98,     476,          47,         125
Boston Green Academy Horace Mann Charter School (District),04110000,SCI,           7,11,           0,0,           7,11,          42,66,          15,23,          64,97,     480,,
Boston Preparatory Charter Public (District),04160000,ELA,          51,18,           2,1,          49,17,         144,50,          91,32,         286,97,     480,          44,         265
Boston Preparatory Charter Public (District),04160000,MATH,          41,14,           0,0,          41,14,         153,52,          99,34,         293,99,     477,          45,         270
Boston Preparatory Charter Public (District),04160000,SCI,          21,19,           0,0,          21,19,          57,51,          33,30,         111,98,     481,,
Boston Renaissance Charter Public (District),04810000,ELA,         102,24,           7,2,          95,22,         196,46,         126,30,         424,100,     483,          46,         295
Boston Renaissance Charter Public (District),04810000,MATH,          82,19,           8,2,          74,17,         200,47,         142,33,         424,100,     482,          50,         293
Boston Renaissance Charter Public (District),04810000,SCI,          29,30,           2,2,          27,28,          46,47,          22,23,          97,100,     486,,
Bourne,00360000,ELA,         242,32,          21,3,         221,30,         373,50,         132,18,         747,99,     491,          53,         590
