2024 Per Pupil Expenditure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil
Westfield,03250000,"          $92,558,875.62","           4,821.4","              $19,197.62","         $104,109,029.90","           5,161.5","              $20,170.35"
Westford,03260000,"          $83,869,681.00","           4,645.5","              $18,054.07","          $91,389,543.31","           4,744.4","              $19,262.69"
Westhampton,03270000,"           $2,901,443.71",             104.9,"              $27,647.43","           $3,488,117.23",             123.8,"              $28,177.95"
Weston,03300000,"          $61,272,627.18","           2,058.8","              $29,760.93","          $64,876,656.80","           2,081.3","              $31,170.97"
Westport,03310000,"          $27,758,105.00","           1,531.6","              $18,123.07","          $30,644,693.42","           1,669.0","              $18,361.35"
Westwood,03350000,"          $69,851,141.00","           2,871.6","              $24,325.19","          $73,053,086.45","           2,904.0","              $25,155.97"
Weymouth,03360000,"         $109,098,757.60","           5,567.1","              $19,596.94","         $125,777,564.00","           5,997.1","              $20,973.09"
Whately,03370000,"           $3,002,949.22",             127.3,"              $23,592.63","           $3,073,657.05",             136.3,"              $22,551.96"
Whitman-Hanson,07800000,"          $62,467,539.44","           3,455.3","              $18,078.82","          $69,176,103.49","           3,622.9","              $19,094.19"
Whittier Regional Vocational Technical,08850000,"          $32,198,204.00","           1,275.6","              $25,241.61","          $32,228,572.00","           1,279.6","              $25,186.44"
Williamsburg,03400000,"           $3,217,557.88",             122.3,"              $26,301.56","           $3,910,409.54",             160.6,"              $24,343.70"
Wilmington,03420000,"          $66,537,061.89","           2,775.9","              $23,969.40","          $74,369,575.12","           2,881.6","              $25,808.08"
Winchendon,03430000,"          $23,372,617.41","           1,195.0","              $19,559.40","          $26,627,558.28","           1,359.6","              $19,584.54"
Winchester,03440000,"          $80,741,779.67","           4,311.8","              $18,725.77","          $87,308,028.52","           4,380.2","              $19,932.59"
Winthrop,03460000,"          $36,004,344.43","           1,963.4","              $18,337.96","          $39,137,771.83","           2,027.0","              $19,308.10"
Woburn,03470000,"         $101,588,395.60","           4,479.6","              $22,677.95","         $113,807,903.50","           4,712.9","              $24,148.23"
Worcester,03480000,"         $546,111,164.90","          24,576.0","              $22,221.28","         $620,492,246.20","          27,606.4","              $22,476.41"
Worthington,03490000,"           $1,774,234.76",              77.2,"              $22,985.62","           $2,734,935.77",             139.8,"              $19,558.07"
Wrentham,03500000,"          $18,493,958.88",             946.2,"              $19,545.74","          $19,692,123.50","           1,002.4","              $19,644.95"
State Totals,00000000,"      $19,453,875,893.00","         867,936.7","              $22,413.93","      $22,003,229,656.00","         949,843.6","              $23,165.11"
