District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Pioneer Charter School of Science II (District),35060000,        44,    93.2,     4.5,     0.0,     0.0,     2.3,     0.0
Pioneer Valley,07500000,        37,    97.3,     0.0,     0.0,     0.0,     2.7,     0.0
Pioneer Valley Chinese Immersion Charter (District),04970000,        34,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,        69,    94.2,     0.0,     0.0,     1.4,     4.3,     0.0
Pittsfield,02360000,       437,    79.2,     6.4,     0.2,     1.4,    12.8,     0.0
Plymouth,02390000,       627,    91.7,     1.8,     0.0,     0.3,     6.2,     0.0
Prospect Hill Academy Charter (District),04870000,        59,    93.2,     1.7,     0.0,     1.7,     3.4,     0.0
Quabbin,07530000,       123,    83.7,     4.9,     0.8,     0.0,    10.6,     0.0
Quaboag Regional,07780000,        83,    91.6,     1.2,     0.0,     1.2,     6.0,     0.0
Quincy,02430000,       802,    93.9,     3.2,     0.0,     0.2,     2.6,     0.0
Ralph C Mahar,07550000,        83,    80.7,     4.8,     0.0,     2.4,    12.0,     0.0
Randolph,02440000,       198,    85.9,     5.6,     0.5,     0.0,     8.1,     0.0
Reading,02460000,       265,    98.1,     1.1,     0.0,     0.0,     0.8,     0.0
Revere,02480000,       649,    79.8,     6.6,     0.0,     0.3,    13.3,     0.0
Rising Tide Charter Public (District),04830000,        56,    92.9,     1.8,     0.0,     1.8,     3.6,     0.0
Rockland,02510000,       143,    85.3,     4.9,     0.0,     0.0,     9.8,     0.0
Rockport,02520000,        46,    91.3,     0.0,     0.0,     2.2,     6.5,     0.0
Roxbury Preparatory Charter (District),04840000,       111,    85.6,     1.8,     0.0,     0.0,    12.6,     0.0
Salem,02580000,       256,    86.3,     7.8,     0.0,     0.4,     5.5,     0.0
Salem Academy Charter (District),04850000,        68,    95.6,     4.4,     0.0,     0.0,     0.0,     0.0
Sandwich,02610000,       151,    89.4,     5.3,     0.0,     0.7,     4.6,     0.0
Saugus,02620000,       208,    84.1,     6.2,     0.0,     0.5,     9.1,     0.0
Scituate,02640000,       205,    96.1,     2.9,     0.0,     0.0,     1.0,     0.0
Seekonk,02650000,       154,    96.8,     1.3,     0.0,     0.6,     1.3,     0.0
Sharon,02660000,       281,    95.7,     2.8,     0.0,     0.4,     1.1,     0.0
Shawsheen Valley Regional Vocational Technical,08710000,       322,    98.1,     0.0,     0.0,     0.0,     1.9,     0.0
Shrewsbury,02710000,       451,    94.5,     4.0,     0.0,     0.0,     1.6,     0.0
Silver Lake,07600000,       256,    97.7,     2.0,     0.0,     0.0,     0.4,     0.0
Sizer School: A North Central Charter Essential (District),04740000,        40,    90.0,     0.0,     0.0,     0.0,    10.0,     0.0
Somerset Berkley Regional School District,07630000,       222,    93.7,     3.2,     0.5,     0.0,     2.7,     0.0
Somerville,02740000,       397,    86.1,     4.0,     0.0,     0.3,     9.6,     0.0
South Hadley,02780000,       134,    92.5,     3.0,     1.5,     0.0,     3.0,     0.0
South Middlesex Regional Vocational Technical,08290000,       205,    97.1,     1.0,     0.0,     0.0,     2.0,     0.0
South Shore Charter Public (District),04880000,        78,    96.2,     0.0,     0.0,     0.0,     3.8,     0.0
South Shore Regional Vocational Technical,08730000,       164,    98.2,     0.0,     0.0,     0.0,     1.8,     0.0
Southbridge,02770000,       126,    78.6,     4.8,     2.4,     0.0,    14.3,     0.0
Southeastern Regional Vocational Technical,08720000,       385,    99.5,     0.0,     0.0,     0.0,     0.5,     0.0
Southern Berkshire,07650000,        40,    90.0,     5.0,     0.0,     0.0,     5.0,     0.0
Southern Worcester County Regional Vocational School District,08760000,       285,    98.9,     0.7,     0.0,     0.0,     0.4,     0.0
Southwick-Tolland-Granville Regional School District,07660000,        86,    96.5,     3.5,     0.0,     0.0,     0.0,     0.0
Spencer-E Brookfield,07670000,        75,    76.0,     5.3,     2.7,     2.7,    12.0,     1.3
Springfield,02810000,"     1,864",    82.0,     7.9,     0.2,     0.1,     9.7,     0.1
Springfield International Charter (District),04410000,       108,    94.4,     0.9,     0.0,     0.0,     4.6,     0.0
Stoneham,02840000,       149,    91.9,     2.7,     0.0,     0.7,     4.7,     0.0
Stoughton,02850000,       307,    88.6,     4.6,     0.7,     0.0,     6.2,     0.0
Sturgis Charter Public (District),04890000,       198,    98.0,     0.5,     0.0,     0.5,     1.0,     0.0
Sutton,02900000,       103,    94.2,     3.9,     0.0,     0.0,     1.9,     0.0
Swampscott,02910000,       169,    93.5,     4.1,     0.0,     0.6,     1.8,     0.0
Swansea,02920000,       129,    93.0,     2.3,     0.0,     0.8,     3.9,     0.0
Tantasqua,07700000,       288,    95.5,     2.4,     0.0,     0.7,     1.4,     0.0
Taunton,02930000,       611,    89.0,     3.1,     0.0,     0.3,     7.5,     0.0
TEC Connections Academy Commonwealth Virtual School District,39020000,       681,    45.7,    12.9,     0.3,     6.6,    34.2,     0.3
Tewksbury,02950000,       182,    93.4,     2.7,     0.5,     0.5,     2.7,     0.0
Tri-County Regional Vocational Technical,08780000,       221,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Triton,07730000,       156,    92.9,     3.8,     0.0,     0.0,     3.2,     0.0
Tyngsborough,03010000,       103,    97.1,     1.9,     0.0,     0.0,     1.0,     0.0
Upper Cape Cod Regional Vocational Technical,08790000,       183,    98.9,     0.0,     0.0,     0.0,     1.1,     0.0
Uxbridge,03040000,       148,    87.8,     7.4,     0.0,     1.4,     3.4,     0.0
Wachusett,07750000,       489,    93.9,     3.5,     0.0,     0.4,     2.2,     0.0
Wakefield,03050000,       221,    95.5,     1.8,     0.0,     0.5,     2.3,     0.0
Walpole,03070000,       239,    95.8,     2.9,     0.0,     0.0,     1.3,     0.0
Waltham,03080000,       542,    74.5,     6.6,     1.8,     0.2,    16.8,     0.0
Ware,03090000,        86,    89.5,     4.7,     0.0,     0.0,     5.8,     0.0
Wareham,03100000,       107,    79.4,    14.0,     0.9,     0.0,     5.6,     0.0
